pair,date,high,low,open,close,volume
USDT_ETC,1704067200,995.83,968.84,983.92,987.82,503970
USDT_ETC,1704153600,1040.67,1001.21,990.53,1015.08,297069
USDT_ETC,1704240000,1041.35,1025.48,1053.63,1040.18,852382
USDT_ETC,1704326400,1086.52,1055.02,1068.29,1065.45,403243
USDT_ETC,1704412800,1107.32,1077.04,1082.94,1086.61,199339
USDT_ETC,1704499200,1125.81,1075.41,1080.53,1100.19,728048
USDT_ETC,1704585600,1129.93,1105.67,1090.29,1122.75,211842
USDT_ETC,1704672000,1135.88,1106.31,1129.92,1133.22,940348
USDT_ETC,1704758400,1253.55,1196.18,1213.58,1218.3,208955
USDT_ETC,1704844800,1253.4,1231.44,1229.8,1241.94,805005
USDT_ETC,1704931200,1191.74,1163.32,1178.35,1190.43,994743
USDT_ETC,1705017600,1237.96,1201.26,1256.5,1222.06,376869
USDT_ETC,1705104000,1203.34,1163.51,1216.61,1182.51,106869
USDT_ETC,1705190400,1196.88,1164.29,1186.18,1180.35,549432
USDT_ETC,1705276800,1209.42,1143.42,1184.14,1176.0,961867
USDT_ETC,1705363200,1257.99,1236.51,1228.54,1237.53,323284
USDT_ETC,1705449600,1221.41,1186.44,1205.01,1192.0,615797
USDT_ETC,1705536000,1183.29,1164.44,1199.97,1167.99,214790
USDT_ETC,1705622400,1229.24,1163.49,1197.88,1198.79,881851
USDT_ETC,1705708800,1173.48,1156.99,1150.68,1159.09,550948
USDT_ETC,1705795200,1141.19,1095.93,1110.7,1123.42,171312
USDT_ETC,1705881600,1149.67,1113.72,1113.56,1146.38,359197
USDT_ETC,1705968000,1130.36,1081.86,1090.8,1106.33,110258
USDT_ETC,1706054400,1070.61,1062.19,1076.44,1066.42,496019
USDT_ETC,1706140800,1021.83,998.73,1046.95,1019.78,696300
USDT_ETC,1706227200,993.68,951.61,994.06,966.96,652655
USDT_ETC,1706313600,952.17,901.05,931.68,925.54,466073
USDT_ETC,1706400000,932.81,887.46,929.18,911.02,646386
USDT_ETC,1706486400,930.6,909.36,913.68,911.6,285721
USDT_ETC,1706572800,933.54,891.14,911.31,914.02,161789
USDT_ETC,1706659200,885.23,876.09,898.1,879.65,250888
USDT_ETC,1706745600,928.1,910.95,944.33,924.16,993204
USDT_ETC,1706832000,921.51,898.59,926.46,917.81,202426
USDT_ETC,1706918400,934.06,899.37,939.31,915.43,757302
USDT_ETC,1707004800,898.34,895.04,887.03,895.37,574915
USDT_ETC,1707091200,913.33,868.36,891.1,893.94,831112
USDT_ETC,1707177600,922.17,893.21,914.13,896.34,158167
USDT_ETC,1707264000,900.85,873.94,893.22,877.29,977269
USDT_ETC,1707350400,895.21,869.14,901.06,892.24,255115
USDT_ETC,1707436800,928.72,908.43,888.89,908.85,332312
USDT_ETC,1707523200,949.48,908.07,923.0,935.41,658579
USDT_ETC,1707609600,980.65,965.71,982.28,968.32,954991
USDT_ETC,1707696000,960.5,912.43,929.5,937.82,933203
USDT_ETC,1707782400,963.01,915.34,962.58,941.08,274975
USDT_ETC,1707868800,981.49,963.06,958.96,971.94,855233
USDT_ETC,1707955200,1023.04,999.43,993.24,1016.64,692826
USDT_ETC,1708041600,1041.25,1001.42,1045.34,1021.29,635305
USDT_ETC,1708128000,957.81,930.08,971.3,951.97,233134
USDT_ETC,1708214400,977.61,961.36,959.58,965.97,191046
USDT_ETC,1708300800,988.93,980.85,963.77,987.36,721553
USDT_ETC,1708387200,1021.32,986.1,982.72,1009.93,696981
USDT_ETC,1708473600,1096.35,1048.28,1042.84,1066.23,525892
USDT_ETC,1708560000,1068.67,1008.64,1027.69,1037.68,770959
USDT_ETC,1708646400,1053.98,1035.69,1065.09,1044.13,586930
USDT_ETC,1708732800,1068.19,1043.14,1064.89,1044.34,875498
USDT_ETC,1708819200,1020.62,974.68,1020.87,997.27,264901
