pair,date,high,low,open,close,volume
USDT_BCH,1704067200,1012.11,1001.9,1013.49,1010.2,727969
USDT_BCH,1704153600,1003.17,986.52,975.41,995.5,750776
USDT_BCH,1704240000,996.47,974.57,1015.03,990.74,680646
USDT_BCH,1704326400,1052.99,1021.11,1042.02,1025.96,219991
USDT_BCH,1704412800,1093.03,1043.52,1075.67,1061.78,424640
USDT_BCH,1704499200,1098.01,1059.28,1061.7,1077.72,517617
USDT_BCH,1704585600,1089.85,1048.44,1074.35,1068.33,992466
USDT_BCH,1704672000,1100.61,1093.86,1097.92,1094.02,363701
USDT_BCH,1704758400,1093.82,1083.99,1066.9,1091.05,372827
USDT_BCH,1704844800,1084.58,1049.35,1045.12,1068.21,564157
USDT_BCH,1704931200,1152.41,1115.44,1147.67,1143.43,712738
USDT_BCH,1705017600,1167.39,1146.81,1118.9,1152.06,408250
USDT_BCH,1705104000,1275.0,1215.6,1214.26,1246.7,321765
USDT_BCH,1705190400,1272.46,1251.27,1220.18,1256.97,472476
USDT_BCH,1705276800,1240.58,1195.17,1185.45,1211.37,261218
USDT_BCH,1705363200,1260.76,1229.23,1269.33,1242.14,298382
USDT_BCH,1705449600,1195.27,1180.17,1209.37,1188.65,418110
USDT_BCH,1705536000,1260.17,1219.21,1261.39,1249.97,264600
USDT_BCH,1705622400,1260.98,1249.33,1262.03,1257.78,860301
USDT_BCH,1705708800,1323.93,1292.51,1343.9,1314.8,258464
USDT_BCH,1705795200,1354.6,1326.68,1380.4,1347.05,965705
USDT_BCH,1705881600,1362.06,1343.51,1396.77,1357.74,291760
USDT_BCH,1705968000,1368.97,1294.37,1320.49,1333.04,460353
USDT_BCH,1706054400,1382.12,1347.26,1348.2,1356.59,761111
USDT_BCH,1706140800,1362.01,1329.4,1315.04,1332.61,698031
USDT_BCH,1706227200,1297.22,1243.84,1282.6,1260.39,508411
USDT_BCH,1706313600,1304.85,1236.2,1286.5,1269.1,781929
USDT_BCH,1706400000,1253.02,1232.73,1233.12,1243.79,343204
USDT_BCH,1706486400,1260.55,1217.32,1270.6,1235.7,666977
USDT_BCH,1706572800,1208.57,1194.04,1188.67,1203.05,787646
USDT_BCH,1706659200,1226.81,1205.87,1212.1,1208.26,521727
USDT_BCH,1706745600,1285.95,1250.3,1233.9,1259.95,960708
USDT_BCH,1706832000,1263.34,1247.36,1293.31,1258.12,486744
USDT_BCH,1706918400,1323.18,1261.76,1302.41,1288.52,780067
USDT_BCH,1707004800,1300.44,1275.19,1284.36,1287.4,214211
USDT_BCH,1707091200,1310.39,1240.29,1237.9,1275.64,712259
USDT_BCH,1707177600,1271.38,1221.84,1238.06,1238.17,146469
USDT_BCH,1707264000,1244.08,1208.93,1200.34,1231.7,647083
USDT_BCH,1707350400,1231.96,1177.51,1175.58,1204.73,371639
USDT_BCH,1707436800,1209.13,1189.18,1180.48,1192.56,714905
USDT_BCH,1707523200,1225.36,1202.71,1199.6,1219.57,207666
USDT_BCH,1707609600,1277.52,1208.07,1252.01,1243.18,439554
USDT_BCH,1707696000,1311.63,1279.54,1336.01,1298.9,325993
USDT_BCH,1707782400,1327.44,1279.15,1264.76,1295.17,335545
USDT_BCH,1707868800,1221.06,1198.22,1235.66,1212.26,309723
USDT_BCH,1707955200,1226.67,1188.59,1191.55,1214.22,476955
USDT_BCH,1708041600,1232.29,1176.24,1227.97,1206.05,639902
USDT_BCH,1708128000,1240.72,1218.36,1248.31,1225.34,609181
USDT_BCH,1708214400,1229.74,1194.93,1189.54,1206.72,500618
USDT_BCH,1708300800,1193.19,1148.21,1170.73,1159.71,532648
USDT_BCH,1708387200,1173.93,1154.34,1169.2,1171.45,136985
USDT_BCH,1708473600,1198.62,1185.43,1155.07,1190.4,423295
USDT_BCH,1708560000,1150.61,1130.15,1098.86,1132.57,622282
USDT_BCH,1708646400,1193.93,1129.14,1143.25,1161.74,201525
USDT_BCH,1708732800,1140.43,1096.42,1107.86,1119.56,879530
USDT_BCH,1708819200,1121.25,1098.59,1096.36,1107.33,322512
USDT_BCH,1708905600,1102.87,1043.91,1074.67,1075.73,418645
USDT_BCH,1708992000,1085.35,1075.63,1073.3,1079.03,552921
USDT_BCH,1709078400,1128.87,1099.57,1133.5,1109.72,786442
USDT_BCH,1709164800,1071.52,1024.35,1039.14,1056.0,997385
USDT_BCH,1709251200,1132.09,1099.87,1083.1,1103.45,849035
USDT_BCH,1709337600,1120.12,1089.68,1101.53,1113.5,419421
USDT_BCH,1709424000,1111.0,1091.02,1111.72,1104.37,183545
USDT_BCH,1709510400,1165.26,1150.9,1165.71,1159.93,896107
USDT_BCH,1709596800,1207.64,1172.19,1213.83,1181.13,975089
USDT_BCH,1709683200,1166.75,1152.03,1130.94,1155.38,540911
USDT_BCH,1709769600,1202.82,1157.76,1159.57,1180.08,677686
USDT_BCH,1709856000,1166.51,1132.46,1142.98,1157.34,678009
USDT_BCH,1709942400,1210.9,1158.81,1196.38,1185.05,593019
USDT_BCH,1710028800,1114.08,1106.72,1126.64,1109.64,157222
USDT_BCH,1710115200,1090.18,1078.08,1058.9,1078.29,320426
USDT_BCH,1710201600,1185.41,1143.82,1140.11,1152.46,765103
USDT_BCH,1710288000,1201.77,1160.74,1186.08,1190.48,104391
USDT_BCH,1710374400,1219.45,1199.16,1227.42,1211.19,340981
USDT_BCH,1710460800,1202.97,1180.01,1172.02,1202.07,505870
USDT_BCH,1710547200,1244.2,1206.96,1222.41,1230.92,365245
USDT_BCH,1710633600,1270.84,1212.97,1203.19,1239.43,234989
USDT_BCH,1710720000,1271.89,1240.97,1247.13,1243.12,697992
USDT_BCH,1710806400,1259.22,1207.59,1194.22,1228.53,268763
USDT_BCH,1710892800,1263.37,1217.48,1249.36,1241.3,427029
USDT_BCH,1710979200,1264.81,1256.81,1274.81,1259.19,849871
USDT_BCH,1711065600,1295.25,1262.97,1268.13,1271.56,372030
USDT_BCH,1711152000,1278.07,1256.51,1240.02,1263.05,156119
USDT_BCH,1711238400,1259.46,1224.81,1280.31,1247.61,857865
USDT_BCH,1711324800,1264.34,1211.4,1265.74,1232.12,946834
USDT_BCH,1711411200,1174.19,1149.49,1169.87,1171.71,972455
USDT_BCH,1711497600,1186.87,1169.22,1161.5,1178.69,952622
USDT_BCH,1711584000,1207.91,1146.97,1156.67,1179.35,496041
USDT_BCH,1711670400,1173.72,1148.12,1121.1,1152.18,906155
USDT_BCH,1711756800,1241.97,1219.42,1206.43,1228.42,687928
USDT_BCH,1711843200,1320.78,1271.35,1259.24,1282.58,526655
USDT_BCH,1711929600,1300.92,1261.12,1281.68,1284.65,847746
USDT_BCH,1712016000,1322.6,1255.12,1297.48,1292.86,958648
USDT_BCH,1712102400,1383.11,1307.62,1322.76,1346.55,691856
USDT_BCH,1712188800,1410.35,1332.88,1363.99,1369.39,242544
USDT_BCH,1712275200,1432.7,1372.04,1431.12,1407.82,167200
USDT_BCH,1712361600,1451.28,1408.66,1428.56,1426.18,570875
USDT_BCH,1712448000,1434.61,1400.59,1443.04,1419.69,743709
USDT_BCH,1712534400,1418.45,1387.42,1439.5,1407.07,517163
USDT_BCH,1712620800,1428.17,1390.9,1395.15,1406.79,418549
USDT_BCH,1712707200,1390.71,1336.93,1369.52,1367.8,617560
USDT_BCH,1712793600,1291.53,1250.05,1307.42,1272.26,786349
USDT_BCH,1712880000,1352.81,1320.4,1316.76,1322.17,915453
USDT_BCH,1712966400,1342.78,1330.03,1307.12,1336.7,388530
USDT_BCH,1713052800,1361.27,1324.23,1364.95,1331.89,182815
USDT_BCH,1713139200,1264.01,1232.23,1253.29,1252.75,214508
USDT_BCH,1713225600,1300.8,1274.67,1307.74,1287.1,848912
USDT_BCH,1713312000,1332.81,1284.49,1301.9,1294.47,506371
USDT_BCH,1713398400,1257.66,1234.16,1284.37,1255.82,155334
USDT_BCH,1713484800,1317.93,1307.78,1327.9,1311.88,873424
USDT_BCH,1713571200,1313.25,1270.91,1273.6,1288.9,897000
USDT_BCH,1713657600,1369.7,1315.59,1305.77,1331.41,699905
USDT_BCH,1713744000,1334.26,1308.69,1295.98,1332.45,604655
USDT_BCH,1713830400,1319.66,1261.54,1248.92,1282.24,169079
USDT_BCH,1713916800,1292.04,1278.03,1295.12,1286.46,895172
USDT_BCH,1714003200,1211.55,1177.13,1222.23,1204.03,531186
USDT_BCH,1714089600,1318.71,1264.77,1276.45,1280.54,928167
USDT_BCH,1714176000,1397.19,1360.41,1334.02,1362.62,742007
USDT_BCH,1714262400,1398.93,1343.91,1361.25,1370.15,583333
USDT_BCH,1714348800,1375.27,1354.49,1341.7,1358.35,311028
USDT_BCH,1714435200,1373.31,1323.95,1311.85,1349.24,407971
USDT_BCH,1714521600,1411.16,1389.3,1436.06,1394.57,910575
USDT_BCH,1714608000,1378.88,1329.5,1327.46,1363.06,478880
USDT_BCH,1714694400,1413.06,1379.59,1405.61,1391.55,547422
USDT_BCH,1714780800,1381.6,1338.05,1380.41,1362.75,652546
USDT_BCH,1714867200,1408.17,1393.22,1401.96,1408.03,193084
USDT_BCH,1714953600,1473.76,1428.9,1476.58,1471.14,977300
USDT_BCH,1715040000,1416.92,1402.06,1407.36,1411.83,629362
USDT_BCH,1715126400,1305.42,1295.01,1303.65,1298.61,425920
USDT_BCH,1715212800,1288.59,1260.3,1289.49,1280.4,418548
USDT_BCH,1715299200,1391.24,1320.22,1324.53,1351.04,902023
USDT_BCH,1715385600,1429.38,1417.43,1386.69,1422.37,806957
USDT_BCH,1715472000,1441.47,1425.13,1474.62,1439.08,177431
USDT_BCH,1715558400,1412.52,1379.4,1421.35,1409.95,309610
USDT_BCH,1715644800,1372.99,1341.35,1332.5,1371.21,560292
